采集日期,起飞日期,提前天数,航班号,航司,类型,起飞时间,到达时间,总时长,中转地,中转时长,剩余座位,价格
2026-01-20,2026-01-21,1,CZ6794,HU,中转,23:35,12:55,13小时20分,HAK,9h50m,7,338.1
2026-01-20,2026-01-21,1,CZ5119,CZ,中转,10:25,17:45,7小时20分,HAK/SWA,2h0m,1,351.77
2026-01-20,2026-01-21,1,CZ3669,CZ,中转,09:00,17:45,8小时45分,HAK/SWA,3h20m,1,351.77
2026-01-20,2026-01-21,1,MU5488,MU,中转,19:25,11:25,16小时,TFU,12h5m,9,356.34
2026-01-20,2026-01-21,1,FM9334,MU,中转,15:30,10:25,18小时55分,SHA,14h5m,9,393.34
2026-01-20,2026-01-21,1,FM9332,MU,中转,12:30,10:25,21小时55分,SHA,17h5m,9,393.34
2026-01-20,2026-01-21,1,CZ3569,CZ,中转,08:30,18:35,10小时5分,HGH/CAN,3h55m,1,420.01
2026-01-20,2026-01-21,1,CZ3797,CZ,中转,11:30,23:35,12小时5分,HGH/CAN,5h35m,1,420.01
2026-01-20,2026-01-21,1,CZ6849,CZ,中转,07:00,18:35,11小时35分,HGH/CAN,5h20m,1,420.01
2026-01-20,2026-01-21,1,CZ3978,CZ,中转,10:05,18:35,8小时30分,SYX/CAN,2h55m,1,436.77
2026-01-20,2026-01-21,1,CZ5853,CZ,中转,07:10,18:35,11小时25分,SYX/CAN,6h5m,1,436.77
2026-01-20,2026-01-21,1,CZ5853,CZ,中转,07:10,23:35,16小时25分,SYX/CAN,11h25m,1,436.77
2026-01-20,2026-01-21,1,CZ3559,CZ,中转,08:10,18:35,10小时25分,NKG/CAN,3h35m,1,438.01
2026-01-20,2026-01-21,1,CZ3455,CZ,中转,11:50,23:35,11小时45分,CKG/CAN,5h30m,1,438.01
2026-01-20,2026-01-21,1,CZ3465,CZ,中转,08:00,23:35,15小时35分,CKG/CAN,9h15m,1,438.01
2026-01-20,2026-01-21,1,CZ6587,CZ,中转,09:20,23:35,14小时15分,NKG/CAN,7h30m,1,438.01
2026-01-20,2026-01-21,1,CZ5919,CZ,中转,18:30,18:35,24小时5分,CKG/CAN,17h30m,1,438.01
2026-01-20,2026-01-21,1,CZ6561,CZ,中转,15:05,18:35,27小时30分,CKG/CAN,20h50m,1,438.01
2026-01-20,2026-01-21,1,CZ3577,CZ,中转,17:45,18:35,24小时50分,NKG/CAN,17h55m,1,438.01
2026-01-20,2026-01-21,1,MU5360,MU,中转,21:35,10:25,12小时50分,SHA,8h0m,9,441.34
2026-01-20,2026-01-21,1,MU5352,MU,中转,19:10,10:25,15小时15分,PVG,10h25m,9,441.34
2026-01-20,2026-01-21,1,HU7028,HU,中转,23:30,12:55,13小时25分,HAK,9h40m,9,444.1
2026-01-20,2026-01-21,1,HU7026,HU,中转,20:55,12:55,16小时,HAK,12h15m,9,444.1
2026-01-20,2026-01-21,1,CZ3451,CZ,中转,14:00,23:35,9小时35分,KMG/CAN,3h10m,1,446.01
2026-01-20,2026-01-21,1,CZ3459,CZ,中转,09:55,23:35,13小时40分,KMG/CAN,7h0m,1,446.01
2026-01-20,2026-01-21,1,CZ3911,CZ,中转,08:15,18:35,10小时20分,WUH/CAN,4h35m,1,446.01
2026-01-20,2026-01-21,1,CZ3356,CZ,中转,19:15,18:35,23小时20分,WUH/CAN,17h25m,1,446.01
2026-01-20,2026-01-21,1,CZ8446,CZ,中转,12:40,23:35,10小时55分,WUH/CAN,5h5m,1,446.01
2026-01-20,2026-01-21,1,CZ5257,CZ,中转,07:20,18:35,11小时15分,KMG/CAN,4h45m,1,446.01
2026-01-20,2026-01-21,1,ZH9315,HU,中转,22:45,12:55,14小时10分,HAK,10h35m,1,457.1
2026-01-20,2026-01-21,1,CZ3827,CZ,中转,14:25,23:35,9小时10分,NKG/CAN,2h25m,1,475.01
2026-01-20,2026-01-21,1,MU5762,MU,中转,11:40,21:40,10小时,KMG,5h35m,9,475.34
2026-01-20,2026-01-21,1,MU5760,MU,中转,22:30,21:40,23小时10分,KMG,19h0m,9,475.34
2026-01-20,2026-01-21,1,CZ3978,CZ,中转,10:05,23:35,13小时30分,SYX/CAN,8h15m,1,477.77
2026-01-20,2026-01-21,1,CZ3551,CZ,中转,12:00,23:35,11小时35分,SHA/CAN,4h40m,1,479.01
2026-01-20,2026-01-21,1,CZ3255,CZ,中转,11:00,23:35,12小时35分,SHA/CAN,5h50m,1,479.01
2026-01-20,2026-01-21,1,CZ8205,CZ,中转,15:55,18:35,26小时40分,PVG/CAN,19h25m,1,479.01
2026-01-20,2026-01-21,1,CZ8477,CZ,中转,09:30,23:35,14小时5分,TFU/CAN,6h55m,1,498.01
2026-01-20,2026-01-21,1,CZ3621,CZ,中转,08:35,23:35,15小时,TFU/CAN,7h50m,1,498.01
2026-01-20,2026-01-21,1,CZ5793,CZ,中转,16:05,18:35,26小时30分,CTU/CAN,19h25m,1,498.01
2026-01-20,2026-01-21,1,CZ5119,CZ,中转,10:25,18:35,8小时10分,HAK/CAN,3h30m,1,502.53
2026-01-20,2026-01-21,1,CZ3669,CZ,中转,09:00,18:35,9小时35分,HAK/CAN,4h50m,1,502.53
2026-01-20,2026-01-21,1,CZ5119,CZ,中转,10:25,23:35,13小时10分,HAK/CAN,8h25m,1,502.53
2026-01-20,2026-01-21,1,CZ3625,CZ,中转,07:30,18:35,11小时5分,SHA/CAN,4h20m,1,516.01
2026-01-20,2026-01-21,1,CZ3568,CZ,中转,06:45,18:35,11小时50分,SHA/CAN,5h10m,1,516.01
2026-01-20,2026-01-21,1,CZ6751,CZ,中转,10:00,23:35,13小时35分,PVG/CAN,6h35m,1,516.01
2026-01-20,2026-01-21,1,3U8702,3U,中转,10:50,23:35,12小时45分,CTU/CAN,5h20m,1,541.01
2026-01-20,2026-01-21,1,CZ5921,CZ,中转,16:35,23:35,7小时,HAK/CAN,2h5m,1,543.53
2026-01-20,2026-01-21,1,HU7767,HU,中转,06:55,18:35,11小时40分,KMG/CAN,5h5m,1,544.01
2026-01-20,2026-01-21,1,HU7275,HU,中转,13:15,20:20,10小时20分,TFU/YIH,0h10m,1,576.01
2026-01-20,2026-01-21,1,ZH9455,MU,中转,12:55,21:40,8小时45分,KMG,4h35m,1,579.34
2026-01-20,2026-01-21,1,3U8710,3U,中转,08:05,18:35,10小时30分,CTU/CAN,3h35m,1,619.01
2026-01-20,2026-01-21,1,MU5762,MU,中转,11:40,23:35,11小时55分,KMG/CAN,5h35m,1,635.01
2026-01-20,2026-01-21,1,HU7870,HU,中转,06:40,18:35,11小时55分,XIY/CAN,4h15m,1,636.01
2026-01-20,2026-01-21,1,CZ3213,CZ,中转,09:15,18:35,9小时20分,XIY/CAN,1h50m,1,651.01
2026-01-20,2026-01-21,1,CA1394,CA,中转,11:35,19:55,8小时20分,PEK,2h55m,9,655.34
2026-01-20,2026-01-21,1,CA1308,CA,中转,10:30,19:55,9小时25分,PEK,3h55m,9,655.34
2026-01-20,2026-01-21,1,ZH9405,ZH,中转,09:50,20:20,13小时45分,CTU/YIH,3h40m,1,661.01
2026-01-20,2026-01-21,1,ZH9463,ZH,中转,10:55,23:35,12小时40分,CKG/CAN,6h30m,1,665.01
2026-01-20,2026-01-21,1,ZH9455,ZH,中转,12:55,23:35,10小时40分,KMG/CAN,4h15m,1,672.01
2026-01-20,2026-01-21,1,ZH9451,ZH,中转,07:50,18:35,10小时45分,KMG/CAN,4h15m,1,672.01
2026-01-20,2026-01-21,1,CA4300,CA,中转,13:45,20:20,9小时50分,TFU/YIH,-1h40m,1,718.01
2026-01-20,2026-01-21,1,CA4338,CA,中转,12:30,23:35,11小时5分,CTU/CAN,3h55m,1,718.01
2026-01-20,2026-01-21,1,ZH9403,ZH,中转,08:00,18:35,10小时35分,CTU/CAN,3h50m,1,739.01
2026-01-20,2026-01-21,1,CA4368,CA,中转,07:25,18:35,11小时10分,CKG/CAN,5h0m,1,775.01
2026-01-20,2026-01-21,1,ZH9463,MU,中转,10:55,21:40,10小时45分,CKG/KMG,5h0m,1,803.77
2026-01-20,2026-01-21,1,ZH9131,MU,中转,09:05,15:50,6小时45分,TYN,2h5m,1,808.34
2026-01-20,2026-01-21,1,CZ6751,MU,中转,10:00,21:40,11小时40分,PVG/KMG,4h10m,1,817.01
2026-01-20,2026-01-21,1,CZ3553,MU,中转,09:00,21:40,12小时40分,SHA/KMG,5h10m,5,817.01
2026-01-20,2026-01-21,1,CZ3965,MU,中转,08:00,21:40,13小时40分,SHA/KMG,6h20m,5,817.01
2026-01-20,2026-01-21,1,CA4368,CA,中转,07:25,19:55,12小时30分,CKG/PEK,5h30m,9,831.01
2026-01-20,2026-01-21,1,ZH9403,MU,中转,08:00,16:10,13小时40分,CTU/YIH,2h30m,1,836.77
2026-01-20,2026-01-21,1,ZH9885,MU,中转,09:40,21:40,12小时,HGH/KMG,4h35m,1,876.01
2026-01-20,2026-01-21,1,ZH9103,ZH,中转,10:00,19:55,9小时55分,PEK,4h25m,1,882.34
2026-01-20,2026-01-21,1,CA4338,MU,中转,12:30,21:40,9小时10分,CTU/KMG,3h20m,9,893.77
2026-01-20,2026-01-21,1,MU5338,MU,中转,11:30,21:40,10小时10分,SHA/KMG,2h50m,9,907.01
2026-01-20,2026-01-21,1,MU5336,MU,中转,10:30,21:40,11小时10分,SHA/KMG,4h5m,9,907.01
2026-01-20,2026-01-21,1,MU5334,MU,中转,09:30,21:40,12小时10分,SHA/KMG,5h0m,9,907.01
2026-01-20,2026-01-21,1,ZH9403,ZH,中转,08:00,19:55,11小时55分,CTU/PEK,4h30m,1,952.01
2026-01-20,2026-01-21,1,HU7704,HU,中转,09:20,19:55,10小时35分,PEK,5h10m,9,970.34
2026-01-20,2026-01-21,1,ZH9883,ZH,中转,09:00,19:55,10小时55分,HGH/PEK,4h35m,1,980.01
2026-01-20,2026-01-21,1,ZH9887,ZH,中转,11:35,23:35,12小时,HGH/CAN,5h45m,1,1054.01
2026-01-20,2026-01-21,1,MU5334,MU,中转,09:30,19:55,10小时25分,SHA/PEK,3h55m,9,1069.01
2026-01-20,2026-01-21,1,3U6796,3U,中转,06:55,14:10,13小时,TFU/YIH,-1h45m,1,1074.01
2026-01-20,2026-01-21,1,3U8710,3U,中转,08:05,19:55,11小时50分,CTU/PEK,4h15m,1,1276.01
2026-01-20,2026-01-21,1,CA4330,HU,中转,07:55,15:15,12小时,TFU/YIH,-1h50m,1,1325.01
2026-01-20,2026-01-21,1,3U6796,HU,中转,06:55,15:15,13小时,TFU/YIH,0h45m,1,1405.01
2026-01-20,2026-01-21,1,HU7457,HR,中转,11:00,21:40,10小时40分,CKG/KMG,4h55m,1,1474.77
2026-01-20,2026-01-21,1,CZ3569,CZ,中转,08:30,19:55,11小时25分,HGH/PEK,4h55m,9,1763.01
2026-01-20,2026-01-21,1,HU7175,HR,中转,09:20,21:40,12小时20分,TFU/KMG,6h40m,9,1907.77
2026-01-20,2026-01-21,1,HU7175,HR,中转,09:20,16:10,12小时20分,TFU/YIH,1h5m,9,1907.77
2026-01-20,2026-01-21,1,CA1308,CA,中转,10:30,23:35,13小时5分,PEK/CAN,4h35m,1,2459.01
2026-01-20,2026-01-22,2,CZ6443,HU,中转,06:40,12:55,6小时15分,HAK,2h50m,1,338.1
2026-01-20,2026-01-22,2,CZ5119,CZ,中转,10:25,17:45,7小时20分,HAK/SWA,1h55m,1,351.77
2026-01-20,2026-01-22,2,CZ3669,CZ,中转,09:00,17:45,8小时45分,HAK/SWA,3h20m,1,351.77
2026-01-20,2026-01-22,2,CZ3451,MU,中转,13:45,21:40,7小时55分,KMG,3h30m,1,353.34
2026-01-20,2026-01-22,2,FM9334,MU,中转,15:30,10:25,18小时55分,SHA,14h30m,9,393.34
